chunk_id,source_file,issue_type,severity,description,recommendation
v2_academic_calendar_0,academic_calendar.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_academic_calendar_1,academic_calendar.md,excessive_html_artifacts,info,Contains 22 HTML tags from PDF extraction,Informational - HTML tags from pymupdf4llm are expected in some PDFs
v2_academic_calendar_1,academic_calendar.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_0,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_1,class_routine.md,excessive_html_artifacts,info,Contains 103 HTML tags from PDF extraction,Informational - HTML tags from pymupdf4llm are expected in some PDFs
v2_class_routine_1,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_2,class_routine.md,excessive_html_artifacts,info,Contains 45 HTML tags from PDF extraction,Informational - HTML tags from pymupdf4llm are expected in some PDFs
v2_class_routine_2,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_3,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_4,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_5,class_routine.md,excessive_html_artifacts,info,Contains 85 HTML tags from PDF extraction,Informational - HTML tags from pymupdf4llm are expected in some PDFs
v2_class_routine_5,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_6,class_routine.md,excessive_html_artifacts,info,Contains 66 HTML tags from PDF extraction,Informational - HTML tags from pymupdf4llm are expected in some PDFs
v2_class_routine_6,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_7,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_8,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_9,class_routine.md,excessive_html_artifacts,info,Contains 132 HTML tags from PDF extraction,Informational - HTML tags from pymupdf4llm are expected in some PDFs
v2_class_routine_9,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_10,class_routine.md,missing_source_url,info,No public URL available for this PDF source,Normal for PDFs without public URLs. Provenance tracked via source_type and document fields.
v2_class_routine_11,class_routine.md,excessive_html_artifacts,info,Contains 130 HTML tags from PDF extraction,Informational - HTML tags from pymupdf4llm are expected in some PDFs
